node,category,M,N,kingdom,phylum,class,order,family,genus,species,resolved.to,common.name
Lutra lutra,vert.endo,12e3,2,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Lutra,lutra,Species,European Otter
Phalacrocorax carbo,vert.endo,2250,30,Animalia,Chordata,Aves,Pelecaniformes,Phalacrocoracidae,Phalacrocorax,carbo,Species,Great Cormorant
Ardea cinerea,vert.endo,1097,10,Animalia,Chordata,Aves,Ciconiiformes,Ardeidae,Ardea,cinerea,Species,Grey Heron
Cygnus olor,vert.endo,10250,35,Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus,olor,Species,Mute Swan
Tadorna tadorna,vert.endo,1112,55,Animalia,Chordata,Aves,Anseriformes,Anatidae,Tadorna,tadorna,Species,Common Shelduck
Anas penelope,vert.endo,710,350,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,penelope,Species,Eurasian Wigeon
Somateria mollissima,vert.endo,2150,3350,Animalia,Chordata,Aves,Anseriformes,Anatidae,Somateria,mollissima,Species,Common Eider
Somateria mollissima (juvenile),vert.endo,700,1834,Animalia,Chordata,Aves,Anseriformes,Anatidae,Somateria,mollissima,Species,Common Eider
Haematopus ostralegus,vert.endo,540,250,Animalia,Chordata,Aves,Charadriiformes,Haematopodidae,Haematopus,ostralegus,Species,Eurasian Oystercatcher
Charadrius hiaticula,vert.endo,63,5,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,hiaticula,Species,Common Ringed Plover
Pluvialis apricaria,vert.endo,180,200,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,apricaria,Species,European Golden Plover
Pluvialis squatarola,vert.endo,227,200,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,squatarola,Species,Grey Plover
Vanellus vanellus,vert.endo,243,200,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Vanellus,vanellus,Species,Northern Lapwing
Calidris alpina,vert.endo,48,350,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,alpina,Species,Dunlin
